title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,notes,timepoints,time_type,doses,human_disease,human_atlas,human_dataset,vaccine_type,pathogen_type,target_pathogen,target_antigen,viral_vector,adjuvanted,sample_source,administration_route,sequencing,organism_name
Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,"To identify the T cell subsets and molecular pathways potentially involved in the killing of orexinergic neurons in Pandemrix®-vaccinated Orex-HA mice, we cell-sorted activated (CD44high CD62Llow) transferred HA-specific (CD45.1+) and endogenous (CD45.1-) CD4 and CD8 T cells from dissected hypothalami, spleen and cervical lymph nodes at the peak of hypothalamic infiltration (day 14 post-vaccination). RNA sequencing on these sorted T cell populations allowed us to compare the gene expression profile of a given T cell subset across different tissue sites and of different T cell subsets in a given tissue. Overall design: Orex-HA mice were immunized intramuscularly with Pandemrix® vaccine 1 day after the adoptive transfer of naïve (CD45.1+CD62L+CD25-) HA-specific CD4+ and CD8+ T cells. At day 14 post-vaccination, endogenous (CD45.1-) and transferred HA-specific (CD45.1+) populations of CD44highCD62LlowCD4+ and CD44highCD62LlowCD8+ T cells were isolated from spleens, cervical lymph nodes and hypothalami by FACS sorting in 4 independent experiments involving 20 to 30 mice each.   4 experiments X 3 tissues per experiment X 4 T cell populations (CD4 and CD8 both with endogenous & transferred) = 48 samples (1 samples did not sequence)…. Total of 47 samples available.","Pandemrix, bulkRNAseq, spleens, lymph nodes",GSE195600,801465,801465_hypothalami,NA,14,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Pandemrix,NA,AS03,Brain (Hypothalami),?,Bulk,Mus musculus
Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,"To identify the T cell subsets and molecular pathways potentially involved in the killing of orexinergic neurons in Pandemrix®-vaccinated Orex-HA mice, we cell-sorted activated (CD44high CD62Llow) transferred HA-specific (CD45.1+) and endogenous (CD45.1-) CD4 and CD8 T cells from dissected hypothalami, spleen and cervical lymph nodes at the peak of hypothalamic infiltration (day 14 post-vaccination). RNA sequencing on these sorted T cell populations allowed us to compare the gene expression profile of a given T cell subset across different tissue sites and of different T cell subsets in a given tissue. Overall design: Orex-HA mice were immunized intramuscularly with Pandemrix® vaccine 1 day after the adoptive transfer of naïve (CD45.1+CD62L+CD25-) HA-specific CD4+ and CD8+ T cells. At day 14 post-vaccination, endogenous (CD45.1-) and transferred HA-specific (CD45.1+) populations of CD44highCD62LlowCD4+ and CD44highCD62LlowCD8+ T cells were isolated from spleens, cervical lymph nodes and hypothalami by FACS sorting in 4 independent experiments involving 20 to 30 mice each.   4 experiments X 3 tissues per experiment X 4 T cell populations (CD4 and CD8 both with endogenous & transferred) = 48 samples (1 samples did not sequence)…. Total of 47 samples available.","Pandemrix, bulkRNAseq, spleens, lymph nodes",GSE195600,801465,801465_lymphnode,NA,14,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Pandemrix,NA,AS03,Lymph node,?,Bulk,Mus musculus
Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,"To identify the T cell subsets and molecular pathways potentially involved in the killing of orexinergic neurons in Pandemrix®-vaccinated Orex-HA mice, we cell-sorted activated (CD44high CD62Llow) transferred HA-specific (CD45.1+) and endogenous (CD45.1-) CD4 and CD8 T cells from dissected hypothalami, spleen and cervical lymph nodes at the peak of hypothalamic infiltration (day 14 post-vaccination). RNA sequencing on these sorted T cell populations allowed us to compare the gene expression profile of a given T cell subset across different tissue sites and of different T cell subsets in a given tissue. Overall design: Orex-HA mice were immunized intramuscularly with Pandemrix® vaccine 1 day after the adoptive transfer of naïve (CD45.1+CD62L+CD25-) HA-specific CD4+ and CD8+ T cells. At day 14 post-vaccination, endogenous (CD45.1-) and transferred HA-specific (CD45.1+) populations of CD44highCD62LlowCD4+ and CD44highCD62LlowCD8+ T cells were isolated from spleens, cervical lymph nodes and hypothalami by FACS sorting in 4 independent experiments involving 20 to 30 mice each.   4 experiments X 3 tissues per experiment X 4 T cell populations (CD4 and CD8 both with endogenous & transferred) = 48 samples (1 samples did not sequence)…. Total of 47 samples available.","Pandemrix, bulkRNAseq, spleens, lymph nodes",GSE195600,801465,801465_spleen,NA,14,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Pandemrix,NA,AS03,Spleen,?,Bulk,Mus musculus
Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,"To determine whether persistent antigen in AdNP immunized mice has any potential cell-intrinsic effects on the genetic program of lung TRM that result in their enhanced longevity, we compared the transcriptional profiles of influenza NP-specific lung TRM (CD8+ i.v. antibody- NP+ CD69+ CD103+), lung TRM that were CD69 single positive (CD8+ i.v. antibody- NP+ CD69+ CD103-) and splenic TEM (CD8+ CD62L- NP+) from mice either infected with x31 influenza or immunized with AdNP at 1-month (35 days post-infection (d.p.i.), x31 and AdNP) and 1-year (365 d.p.i., AdNP only) time points. Overall design: Transcriptional profiling of 9 experimental groups with 2 samples per group.","Influenza, adenovirus",GSE198980,817611,,NA,1//1,Month//Year,,Yes,Partial,NA,Viral vector,virus,Influenza,?,Ad,No,Lungs,?,Bulk,Mus musculus
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],"Influenza A viruses (IAVs) present major public health threats from annual seasonal epidemics and pandemics as well as from viruses adapted to a variety of animals including poultry, pigs, and horses. Vaccines that broadly protect against all such IAVs, so-called “universal” influenza vaccines, do not currently exist, but are urgently needed. Here, we demonstrated that an inactivated, multivalent whole virus vaccine, delivered intramuscularly or intranasally, was broadly protective against challenges with multiple IAV hemagglutinin and neuraminidase subtypes in both mice and ferrets. The vaccine is comprised of four beta-propiolactone-inactivated low pathogenicity avian influenza A virus subtypes of H1N9, H3N8, H5N1, or H7N3. Vaccinated mice and ferrets demonstrated substantial protection against a variety of IAVs, including the 1918 H1N1 strain, the highly pathogenic avian H5N8 strain, and H7N9. We also observed protection against challenge with antigenically variable and heterosubtypic avian, swine, and human viruses. Compared to mock vaccinated animals, vaccinated mice and ferrets demonstrated marked reductions in viral titers, lung pathology, and host inflammatory responses. This vaccine approach indicates the feasibility of eliciting broad, heterosubtypic IAV protection and identifies a promising candidate for influenza vaccine clinical development. Overall design: Lung gene expression profiles from vaccinated or non-vaccinated mice and ferrets challenged with different influenza viruses were compared to lung tissue from unvaccinated, uninfected control animals.","Influenza A, inactivated, multivalent",GSE205839,847932,847932_H1N1,Not many info,3//6,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Influenza A H1N1,NA,?,Lungs,Intramuscular//Intranasal,Microarray,Mus musculus
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],"Influenza A viruses (IAVs) present major public health threats from annual seasonal epidemics and pandemics as well as from viruses adapted to a variety of animals including poultry, pigs, and horses. Vaccines that broadly protect against all such IAVs, so-called “universal” influenza vaccines, do not currently exist, but are urgently needed. Here, we demonstrated that an inactivated, multivalent whole virus vaccine, delivered intramuscularly or intranasally, was broadly protective against challenges with multiple IAV hemagglutinin and neuraminidase subtypes in both mice and ferrets. The vaccine is comprised of four beta-propiolactone-inactivated low pathogenicity avian influenza A virus subtypes of H1N9, H3N8, H5N1, or H7N3. Vaccinated mice and ferrets demonstrated substantial protection against a variety of IAVs, including the 1918 H1N1 strain, the highly pathogenic avian H5N8 strain, and H7N9. We also observed protection against challenge with antigenically variable and heterosubtypic avian, swine, and human viruses. Compared to mock vaccinated animals, vaccinated mice and ferrets demonstrated marked reductions in viral titers, lung pathology, and host inflammatory responses. This vaccine approach indicates the feasibility of eliciting broad, heterosubtypic IAV protection and identifies a promising candidate for influenza vaccine clinical development. Overall design: Lung gene expression profiles from vaccinated or non-vaccinated mice and ferrets challenged with different influenza viruses were compared to lung tissue from unvaccinated, uninfected control animals.","Influenza A, inactivated, multivalent",GSE205839,847932,847932_H5N8,Not many info,3//6,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Influenza A H5N8,NA,?,Lungs,Intramuscular//Intranasal,Microarray,Mus musculus
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],"Influenza A viruses (IAVs) present major public health threats from annual seasonal epidemics and pandemics as well as from viruses adapted to a variety of animals including poultry, pigs, and horses. Vaccines that broadly protect against all such IAVs, so-called “universal” influenza vaccines, do not currently exist, but are urgently needed. Here, we demonstrated that an inactivated, multivalent whole virus vaccine, delivered intramuscularly or intranasally, was broadly protective against challenges with multiple IAV hemagglutinin and neuraminidase subtypes in both mice and ferrets. The vaccine is comprised of four beta-propiolactone-inactivated low pathogenicity avian influenza A virus subtypes of H1N9, H3N8, H5N1, or H7N3. Vaccinated mice and ferrets demonstrated substantial protection against a variety of IAVs, including the 1918 H1N1 strain, the highly pathogenic avian H5N8 strain, and H7N9. We also observed protection against challenge with antigenically variable and heterosubtypic avian, swine, and human viruses. Compared to mock vaccinated animals, vaccinated mice and ferrets demonstrated marked reductions in viral titers, lung pathology, and host inflammatory responses. This vaccine approach indicates the feasibility of eliciting broad, heterosubtypic IAV protection and identifies a promising candidate for influenza vaccine clinical development. Overall design: Lung gene expression profiles from vaccinated or non-vaccinated mice and ferrets challenged with different influenza viruses were compared to lung tissue from unvaccinated, uninfected control animals.","Influenza A, inactivated, multivalent",GSE205839,847932,847932_H7N9,Not many info,3//6,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Influenza A H7N9,NA,?,Lungs,Intramuscular//Intranasal,Microarray,Mus musculus
Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using whole lymph node),"Messenger RNA vaccines based on lipid nanoparticles (mRNA-LNPs) are promising vaccine modalities. However, mRNA-LNP vaccines frequently cause adverse reactions such as swelling and fever in humans, partly due to the inflammatory nature of LNP. Modification of the ionizable lipids used in LNP is one approach to avoid these adverse reactions. Herein, we report the development of mRNA-LNP vaccines with better protective immunity and reduced adverse reactions using LNP, including SS-cleavable and pH-activated lipid-like materials with oleic acid (ssPalmO) as an ionizable lipid (LNPssPalmO). We used mRNA expressing H5N1 subtype high-pathogenicity avian influenza virus-derived hemagglutinin or neuraminidase to generate mRNA-LNP vaccines against H5N1 influenza. Compared with conventional LNP, mRNA-LNPssPalmO induced comparable antigen-specific antibodies and better IFN--producing Th1 responses in mice. Both mRNA-LNPssPalmO and conventional mRNA-LNP conferred strong protection against homologous H5N1 virus challenge. In addition, mRNA-LNPssPalmO showed better cross-protection against heterologous H5N1 virus challenge compared to conventional mRNA-LNPs. Furthermore, we observed that mRNA-LNPssPalmO induced less inflammatory responses (e.g., inflammatory cytokine production and vascular hyperpermeability) and fewer adverse reactions (e.g., weight loss and fever) compared with conventional mRNA-LNP. These results suggest that mRNA-LNPssPalmO would be a safe alternative to conventional vaccines to overcome mRNA-LNP vaccine hesitancy. Overall design: To thoroughly evaluate inflammatory response induced by LNPssPalmO, we analyzed the gene expression profile from an RNA-seq data obtained from the draining lymph nodes of mice subjected to control and experimental treatments (three treatments in total). Comparative gene expression profiles from draining lymph node of mice vaccinated with PBS, LNPssPalmO, or LNPSM-102. Samples from mice treated with PBS served as reference samples.","mrna, h5n1, influenza, whole lymph node drainage",GSE279743,1174196,,NA,NA,,,Yes,Yes,MSigDB//13Vax,mRNA,virus,Influenza,H5N1,NA,No,Lymph node,?,Bulk,Mus musculus
Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using dendritic cell of lymph node),"Messenger RNA vaccines based on lipid nanoparticles (mRNA-LNPs) are promising vaccine modalities. However, mRNA-LNP vaccines frequently cause adverse reactions such as swelling and fever in humans, partly due to the inflammatory nature of LNP. Modification of the ionizable lipids used in LNP is one approach to avoid these adverse reactions. Herein, we report the development of mRNA-LNP vaccines with better protective immunity and reduced adverse reactions using LNP, including SS-cleavable and pH-activated lipid-like materials with oleic acid (ssPalmO) as an ionizable lipid (LNPssPalmO). We used mRNA expressing H5N1 subtype high-pathogenicity avian influenza virus-derived hemagglutinin or neuraminidase to generate mRNA-LNP vaccines against H5N1 influenza. Compared with conventional LNP, mRNA-LNPssPalmO induced comparable antigen-specific antibodies and better IFN--producing Th1 responses in mice. Both mRNA-LNPssPalmO and conventional mRNA-LNP conferred strong protection against homologous H5N1 virus challenge. In addition, mRNA-LNPssPalmO showed better cross-protection against heterologous H5N1 virus challenge compared to conventional mRNA-LNPs. Furthermore, we observed that mRNA-LNPssPalmO induced less inflammatory responses (e.g., inflammatory cytokine production and vascular hyperpermeability) and fewer adverse reactions (e.g., weight loss and fever) compared with conventional mRNA-LNP. These results suggest that mRNA-LNPssPalmO would be a safe alternative to conventional vaccines to overcome mRNA-LNP vaccine hesitancy. Overall design: To thoroughly evaluate inflammatory response induced by LNPssPalmO, we analyzed the gene expression profile from an RNA-seq data obtained from the draining lymph nodes of mice subjected to control and experimental treatments (three treatments in total). Comparative gene expression profiles from draining lymph node of mice vaccinated with PBS, LNPssPalmO, or LNPSM-102. Samples from mice treated with PBS served as reference samples.","mrna, h5n1, influenza, dendritic cell of lymph node drainage",GSE279744,1174191,,NA,NA,,,Yes,Yes,MSigDB//13Vax,mRNA,virus,Influenza,H5N1,NA,No,Lymph node (dendritic cells),?,Bulk,Mus musculus
Ectopic germinal centers in the nasal turbinates contribute to B cell immunity to intranasal viral infection and vaccination,"The nasal mucosa is the first immunologically active site that respiratory viruses encounter and establishing immunity at the initial point of pathogen contact is essential for preventing viral spread. Influenza A virus (IAV) in humans preferentially replicates in the upper respiratory tract (URT) but mouse models of infection result in lower respiratory tract (LRT) infection. Here we optimize IAV inoculation to enhance replication in the nasal turbinate (NT) and study local B cell immunity. We demonstrate that URT-targeted IAV infection stimulates robust local B cell responses, including germinal centre (GC) B cell formation in the NT, outside of classical nasal associated lymphoid tissues (NALT). NT GC contribute to local tissue resident B cell generation and enhance local antibody production. Furthermore, URT-focused immunization also induces significant GC formation in the NT.  Finally, we detect steady-state GC in the NT of both mice and healthy humans, suggesting continuous immune surveillance triggered by environmental stimuli. These findings highlight the pivotal role of the NT in local and systemic immunity, with important implications for future mucosal vaccines targeting the upper airways. Overall design: Here we have infected mice with IAV-PR8 and sacrificed them at 21 days after infection.  we collected nasal tissue (NT), NALT and cervical LN from 8 males S1pr2CreERT2-tdTomato mice, treated daily with Tamoxifen. Sorting on GC B cells  (B220+ GL7+ IgD- CD38-) TdTomato+ . each organ was hashtagged individually and pooled","influenza, nasal turbinate, b cells,",GSE289606,1223792,,NA,NA,,,Yes,No,,Infection,virus,Influenza,Influenza A PR/8,NA,No,Respiratory secretion (B cells),Intranasal,Bulk,Mus musculus
Ten day time course of effect of influenza vaccination on gene expression profiles of PBMC and circulating B cells in mice,"Study was to explore the immune and transcriptomic response to seasonal influenza vaccination (TIV) in mice. For more information see Immport study SDY583. Overall design: 22 total samples, 6 mice per sample: 11 PBMC samples (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost) and 11 B cell samples  (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost)","influenza, pbmc, b cell",GSE68768,283896,,NA,0//10,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Seasonal Influenza,NA,NA,PBMCs,?,Bulk,Mus musculus
Ten day time course of effect of influenza vaccination on gene expression profiles of lymph node cells (unselected cells and B cells) in mice,"Study was to explore the immune and transcriptomic response to seasonal influenza vaccination (TIV) in mice. For more information see Immport study SDY583. Overall design: 22 total samples, 6 mice per sample: 11 unselected cell samples (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost) and 11 B cell samples  (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost)","influenza, pbmc, b cell",GSE68769,283895,,NA,0//10,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Whole,NA,NA,Lymph node,?,Bulk,Mus musculus
Ten day time course of effect of influenza vaccination on gene expression profiles of spleen cells (unselected cells and B cells) in mice,"Study was to explore the immune and transcriptomic response to seasonal influenza vaccination (TIV) in mice. For more information see Immport study SDY583. Overall design: 22 total samples, 6 mice per sample: 11 unselected cell samples (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost) and 11 B cell samples  (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost)","influenza, pbmc, b cell",GSE68770,283894,,NA,0//10,Day,,Yes,Yes,MSigDB//13Vax,Inactivated,virus,Influenza,Whole,NA,NA,Spleen,?,Bulk,Mus musculus
Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling,Subunit vaccine elicits lung tissue resident memmory CD4+ T-cells and confers lung protection against heterologous strain Overall design: I. We harvested the lungs from Il17raDermoCre negative and positive mice at 4 hours post challenge with 10^4 CFU K1 strain (KP396) and extracted the whole RNAs. We chose this time point based on the similar CFU between groups because any differences in gene expression would not be due to lung bacterial burdens.,"subunit, klebisiella, lungs, bacteria",GSE174849,731906,,NA,4,Hour,,Yes,No,,Subunit,bacteria,Klebsiella,Omp,NA,LTA1,Lungs,?,Bulk,Mus musculus
Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling [scRNA-Seq],"Subunit vaccine elicits lung tissue resident memmory CD4+ T-cells and confers lung protection against heterologous strain Overall design: I. We immunized WT C57BL/6 mice oropharyngealy with 1ug OmpX+10ug LTA1 or 40ug heat-killed Klebsiella pneumoniae (ATCC 43816) twice 3 weeks apart, and 1 more week later we euthanized and removed the lungs for single cell suspensions as well as spleen cells from naïve WT C57BL/6 mice. Then, the CD4+ T-cells were sorted from the cell suspensions by magnetic beads. Recombinant OmpX were generated from K. pneumoniae-43816 and purified by using E. coli expression systems. The adjuvant LTA1 was A1 subunit of the heat-labiled enterotoxin from E.coli and purified from E. coli expression systems. II. We immunized IL-17F-Thy1.1 reporter mice oropharyngealy with 1ug OmpX+10ug LTA1 twice 3 weeks apart, and 1 more week later we euthanized and removed the lungs for single cell suspensions as well as naive spleen cells. Then, the CD4+ T-cells were sorted from the cell suspensions by magnetic beads. Recombinant OmpX were generated from K. pneumoniae-43816 and purified by using E. coli expression systems. The adjuvant LTA1 was A1 subunit of the heat-labiled enterotoxin from E.coli and purified from E. coli expression systems.","klebisiella, scRNAseq, subunit, heat killed",GSE178385,738836,,NA,3,Week,,Yes,No,,Subunit ,bacteria,Klebsiella,Heat-killed,NA,?,Lungs//Spleen,Oropharyngeal,scRNAseq,Mus musculus
Subunit vaccine elicited lung TRM cells use fibroblast IL-17R signaling to provide serotype independent immunity against hypervirulent K. pneumoniae,"Subunit vaccine conferred lung protection against heterologous strain through the augmentaion of lung tissue resident memmory CD4+ T-cells. Overall design: ①We immunized WT C57BL/6 mice with OmpX+LTA1 or heat killed Klebsiella pneumoniae (ATCC 43816) twice 3 weeks apart, and 1 more week later we euthanized and removed the lung for single cell suspensions in addition to naive spleen cells. ②Our data had indicated that 24 hours post pulmonary infection of K1 strain at 10e4 CFU reveals quite higher bacterial burden in Il17raDermoCre postivie mice than in Il17raDermoCre negative mice, and therefore we harvested lung tissues to obatin RNA for bulk RNAseq at 4 hours post infection because any differences in gene expression would not be due to differences in lung bacterial burdens.","subunit, klebsiella pneumoniae, bulk rnaseq",GSE157382,661089,,NA,3//1,Week//Hour,,Yes,No,,Subunit ,bacteria,Klebsiella pneumoniae,Heat-killed,NA,?,NA,Lung,Bulk,Mus musculus
NK cell regulation of T cells following LCMV infection of vaccinated and unvaccinated mice,"NK cells may provide a “rheostat” function and have been shown to reduce the magnitude of antigen-specific T cell responses following infection. It remains unknown whether NK cells similarly modulate vaccine-elicited T cell responses following viral challenge. We used the LCMV clone 13 infection model to address whether NK cells regulate T cell responses in Adenovirus vector vaccinated mice following challenge. As expected, NK cell depletion in unvaccinated mice resulted in increased virus-specific CD4+ and CD8+ T cell responses and immunopathology following LCMV challenge. In contrast, NK cell depletion had minimal to no impact on antigen-specific T cell responses in mice that were vaccinated with an Ad5-GP vector prior to LCMV challenge. Moreover, NK cell depletion in vaccinated mice prior to challenge did not result in immunopathology and did not compromise protective efficacy. These data suggest that Adenovirus vaccine-elicited T cells may be less sensitive to NK cell-rheostat regulation than are T cells primed by LCMV infection. Overall design: Splenic GP33-specific CD8+ T cells were isolated via FACS cell sorting at 8 days post-infection from LCMV Cl-13 infected mice. Depending on the experimental group (specifics in sample information), they may have received a prior Ad5-GP vaccine, NK-depleting antibody or isotype control antibody prior to challenge.","lcmv, adenovirus",GSE107116,419062,,NA,NA,,,Yes,No,,Viral vector,virus,LCMV,GP,Ad,NA,NA,?,Microarray,Mus musculus
NA,"To udnderstand the tissue-resident features of antigen-specific memory T cells of the bone marrow and spleen, we performed RNA-Seq and compared expression levels of genes of resting LCMV.GP66-77 specific CD4 T cells isolated from bone marrow (BM) and spleen of LCMV.GP61-80 primed C57BL/6 mice. Overall design: C57BL/6 mice were primed at day 0 with LCMV.GP61-80-NP-MSA + poly(I:C) and immunized again at day 14 with LCMV.GP61-80 + poly(I:C). Sixty days after the last immunization mice were sacrificed and LCMV.GP66–77-specific CD69+ and CD69- memory CD4 T cells were isolated from BM and spleen.","spleen, lcmv",GSE124794,513500,,NA,0//14//60,Day,,Yes,No,,NA,virus,LCMV,,NA,NA,Spleen//Bone marrow,?,Bulk,Mus musculus
NA,"Acute, transient IFNAR1 blockade induces a compensatory IFN-I response during the effector phase (day 7) Overall design: We MACS-purified splenic CD8 T cells by negative selection. Then, we FACS-sorted DbGP33+ CD8 T cells.",LCMV vector,GSE129827,532908,,NA,NA,,,Yes,No,,Viral vector,virus,LCMV,,NA,NA,Spleen (TCD8 cells),?,Bulk,Mus musculus
Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,Vaccination induced CD4 T cells prevent B cell decimation by turning on a germinal center like transcriptional program. This cellular differentiation is similiar to the one observed when type I interferon receptor-deficient (IFNAR-/-) instead of wt mice are used as recipients. Overall design: Analysis of KL25HL B cells recovered from LCMV-infected wt mice with either one of two forms of pre-existing CD4 T help (LM61 pre-immunization or  SM CD4 T cell adoptive transfer) or no pre-existing T help wt mice (LM immunization) or KL25HL B cells recovered from IFNAR-/- mice without pre-existing CD4 T help.,"lcmv, tcd4",GSE160294,672903,,Challenge and vaccination,?,,,Yes,No,,NA,virus,LCMV,,NA,NA,TCD4,?,Bulk,Mus musculus
Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,"CD4 T cells responses induced by LM61 immunization are heterogeneous in phenotype. The majority consists of Th1 cells, but there is also a consistent population of Tfh-differentiated cells and a minor population of Treg cells. Tfh-differentiated cells, alongside Th1 cells expand upon LCMV challenge. Overall design: LCMV GP66-77-specific CD4 T cells were analyzed on day 9  after LM61 immunization. Additional mice were given KL25HL B cell transfer and LCMV challenge on day 9 after LM61 immunization and GP66-77-specific CD4 T cells were analyzed on day 14. To control for the impact of LM61 pre-immunization on the differentiation of GP66-77-specific CD4 T cell responses upon LCMV challenge, an additional group of mice was given wildtype LM on day 0 instead of LM61.","LCMV, challenge, tcd4",GSE161356,677948,,Challenge and vaccination,9//14,Day,,Yes,No,,NA,virus,LCMV,,NA,NA,TCD4,?,Bulk,Mus musculus
NA,"Stem-like CD8+ T cells are a key feature of chronic conditions and long-lived memory. Currently stem-like CD8+ T cells are named according to their environment, where precursors of exhausted (TPEX) cells arise in chronic viral infections, autoimmunity and cancer, while stem cell-like memory (TSCM) cells are associated with acute infection and vaccination. Here, we established and validated a method to monitor the transition between transcriptionally distinct TPEX and TSCM cell states. We reveal a linear and reversible developmental trajectory that is concomitant with viral clearance. Further, we demonstrate that TPEX to TSCM cell conversion is observed during acute viral infection and vaccination, aligning the processes that establish stem-like CD8+ T cells in acute and chronic settings. This work supports the potential to monitor stem-like CD8+ T cell conversion as biomarkers of disease in patients with chronic infection, cancer, and autoimmunity and broadens the importance of this transition during the establishment of vaccine-induced long-lived immune protection. Overall design: Paired single cell RNA sequencing (scRNAseq) and surface protein sequencing (CITEseq) analysis compared P14 cells from day 8 acute LCMV Armstrong infection (4499 cells) and chronic LCMV Docile infection (4967 cells) with days 0-1 IFNAR blocked LCMV Armstrong at both day 8 (5061 cells) and day 14 (3102 cells).","scRNA, citeseq, lcmv virus,",GSE289245,1221968,,NA,0//1//7//14,Day,,Yes,No,,Infection,virus,LCMV,,NA,No,TCD8+,?,scRNA//CITE-seq,Mus musculus
NA,"CD4 T cells promote innate and adaptive immune responses, but how vaccine-elicited CD4 T cells contribute to immune protection remains unclear. Here we evaluated whether induction of virus-specific CD4 T cells by vaccination would protect mice against infection with chronic lymphocytic choriomeningitis virus (LCMV). Immunization with vaccines that selectively induced CD4 T cell responses resulted in catastrophic inflammation and mortality following challenge with a persistent form of LCMV. Immunopathology required antigen-specific CD4 T cells and was associated with a cytokine storm, generalized inflammation, and multi-organ system failure. Virus-specific CD8 T cells or antibodies abrogated the pathology. These data demonstrate that vaccine-elicited CD4 T cells in the absence of effective antiviral immune responses can trigger lethal immunopathology. Overall design: Splenic GP66-specific CD4 T cells from mice immunized with either a LMwt vaccine (sham) or LMgp61 vaccine (CD4 vaccine) were purified by FACS on day 8 post-infection with LCMV clone 13",lcmv,GSE63825,269164,,NA,8,Day,,Yes,No,,NA,virus,LCMV,,NA,NA,NA,?,Microarray,Mus musculus
NA,"Visceral leishmaniasis (VL), caused by Leishmania spp protozoan parasites, can provoke overwhelming and protracted epidemics, with high case–fatality rates. Despite extensive efforts towards the development of an effective prophylactic vaccine, no promising vaccine is available yet for humans. Multi-epitope peptide based vaccine development is manifesting as the new era of vaccination strategies against VL. Aim of the study was the design of chimeric peptides from immunogenic L. infantum proteins for encapsulation in PLGA nanoparticles (NPs) alone or in combination with MPLA adjuvant, or in PLGA NPs surface modified with an octapeptide mimicking TNF-alpha for DCs targeting, in order to construct a peptide-based nanovaccine. The in vitro evaluation of the above nanoformulations was performed in DCs isolated from HLA-A2.1 transgenic mice. Characterization of DCs transcriptional responses to these vaccine candidates via microarrays could improve our understanding of their mechanisms of action on DCs' functional differentiation and the type of adaptive immunity subsequently induced. Overall design: For the 5 different conditions (4 stimulated and 1 unstimulated - control), 15 samples were analyzed. Experiments were conducted in biological triplicate.","leishmaniasis, protozoan, multiepitope",GSE92869,358682,,NA,NA,,,Yes,No,,Subunit,protozoa,Leishmania,Multiepitopes,NA,NA,NA,?,Microarray,Mus musculus
Study of visceral leishmaniasis establishment - Gene expression from (un)infected (non-)vaccinated mouse spleen samples,"Visceral leishmaniasis (VL) caused by Leishmania donovani and L. infantum is a potentially fatal disease. To date there are no registered vaccines for disease prevention despite the fact that several vaccines are in preclinical development. Thus, new strategies are needed to improve vaccine efficacy based on a better understanding of the mechanisms mediating protective immunity and mechanisms of host immune responses subversion by immunopathogenic components of Leishmania. In the present study, determination of the immune mechanisms related to infection or protective immune responses against VL using an experimental nanovaccine as a vaccine model was conducted through microarray analysis. Overall design: For the 5 different conditions (4/16-weeks post challenge vaccinated/non-vaccinated mice and naïve, uninfected control mice), 10 samples were analyzed. Experiments were conducted in biological duplicate.","leishmania donovani and infantum, spleen, nanovaccine",GSE134661,556008,556008_donovani,NA,4//16,Week,,Yes,No,,Nanovaccine,protozoa,Leishmania donovani,CPA162-189-loaded p8-PLGA nanoparticles,NA,NA,Spleen,?,Microarray,Mus musculus
